country_full,country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier,date_keys,value_keys,filter,orient,use_cache
Canada,can,infl,https://api.economicsobservatory.com/can/infl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,108785713,18100256,Inflation,"CPI all, % | Source: STATCAN through ECO API",https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=2006-01-01&endReferencePeriod=2025-01-01&vectorIds=108785713,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,popu,https://api.economicsobservatory.com/can/popu,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,2062809,14100287,Population,Thousands | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,STATCAN,Statistics Canada,,thousands,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,prod,https://api.economicsobservatory.com/can/prod,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,,,Productivity,Chained $ 2012 CAN / hour | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,STATCAN,Statistics Canada,,Chained $ 2012 CAN / hour,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,unem,https://api.economicsobservatory.com/can/unem,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,2062815,14100287,Unemployment rate,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,wage,https://api.economicsobservatory.com/can/wage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,,,Weekly wage,$ CAN / week | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,STATCAN,Statistics Canada,,$ CAN / week,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
China,chn,esta,https://api.economicsobservatory.com/chn/esta,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/esta.json,,,Real Estate Investment,Yearly change in real estate investment (%) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/esta.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,expo,https://api.economicsobservatory.com/chn/expo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/expo.json,,,Exports,Monthly Exports of goods and services ('000 current US$) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/expo.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,grow,https://api.economicsobservatory.com/chn/grow,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/grow.json,,,GDP Growth,Year-on-year change in GDP (%) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/grow.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,impo,https://api.economicsobservatory.com/chn/impo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/impo.json,,,Imports,Monthly Imports of goods and services ('000 current US$) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/impo.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,infl,https://api.economicsobservatory.com/chn/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/infl.json,,,Inflation,Year-on-year change in CPI (%) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/infl.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,popu,https://api.economicsobservatory.com/chn/popu,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/popu.json,,,Population,Population (millions) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/popu.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,wage,https://api.economicsobservatory.com/chn/wage,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/wage.json,,,Average Wage,Average wage (CNY) | NBS through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/chn/wage.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
Egypt,egy,debt,https://api.economicsobservatory.com/egy/debt,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/debt.json,,,Debt,"Central government debt, total (% of GDP) | CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/debt.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Central government debt, total (% of GDP)",% of GDP,,,1,,,,,1
Egypt,egy,empl,https://api.economicsobservatory.com/egy/empl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/empl.json,,,Employment to population ratio,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) | CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/empl.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",%,,,1,,,,,1
Egypt,egy,expo,https://api.economicsobservatory.com/egy/expo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/expo.json,,,Exports,Exports of goods and services (current US$) | CAPMAS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/expo.json,CAPMAS,Central Agency for Public Mobilization and Statistics,Exports of goods and services (current US$),current US$,,,1,,,,,1
Egypt,egy,gdpa,https://api.economicsobservatory.com/egy/gdpa,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/gdpa.json,,,GDP,GDP (constant 2015 US$) | CAPMAS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/gdpa.json,CAPMAS,Central Agency for Public Mobilization and Statistics,GDP (constant 2015 US$),constant 2015 US$,,,1,,,,,1
Egypt,egy,gdpp,https://api.economicsobservatory.com/egy/gdpp,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/gdpp.json,,,GDP per capita,GDP per capita (constant 2015 US$) | CAPMAS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/gdpp.json,CAPMAS,Central Agency for Public Mobilization and Statistics,GDP per capita (constant 2015 US$),constant 2015 US$,,,1,,,,,1
Egypt,egy,grow,https://api.economicsobservatory.com/egy/grow,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/grow.json,,,GDP Growth,GDP growth (annual %) | CAPMAS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/grow.json,CAPMAS,Central Agency for Public Mobilization and Statistics,GDP growth (annual %),%,,,1,,,,,1
Egypt,egy,impo,https://api.economicsobservatory.com/egy/impo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/impo.json,,,Imports,Imports of goods and services (current US$) | CAPMAS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/impo.json,CAPMAS,Central Agency for Public Mobilization and Statistics,Imports of goods and services (current US$),current US$,,,1,,,,,1
Egypt,egy,infl,https://api.economicsobservatory.com/egy/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/infl.json,,,Inflation,"Inflation, consumer prices (annual %) | CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/infl.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Inflation, consumer prices (annual %)",%,,,1,,,,,1
Egypt,egy,popu,https://api.economicsobservatory.com/egy/popu,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/popu.json,,,Population,"Population, total | CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/popu.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Population, total",total,,,1,,,,,1
Egypt,egy,unem,https://api.economicsobservatory.com/egy/unem,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/unem.json,,,Unemployment,"Unemployment, total (% of total labor force) (modeled ILO estimate) | CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/unem.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",% of total labor force,,,1,,,,,1
Ethiopia,eth,debt,https://api.economicsobservatory.com/eth/debt,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/debt.json,,,Debt,"Central government debt, total (% of GDP) | CSA (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/debt.json,CSA,Central Statistical Agency,"Central government debt, total (% of GDP)",% of GDP,,,1,,,,,1
Ethiopia,eth,empl,https://api.economicsobservatory.com/eth/empl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/empl.json,,,Employment to population ratio,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) | CSA (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/empl.json,CSA,Central Statistical Agency,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",%,,,1,,,,,1
Ethiopia,eth,expo,https://api.economicsobservatory.com/eth/expo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/expo.json,,,Exports,Exports of goods and services (current US$) | CSA (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/eth/expo.json,CSA,Central Statistical Agency,Exports of goods and services (current US$),current US$,,,1,,,,,1
