country_full,country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier,date_keys,value_keys,filter,orient,use_cache
Canada,can,popu,https://api.economicsobservatory.com/can/popu,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,2062809,14100287,Population,Thousands | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062809,STATCAN,Statistics Canada,,thousands,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,prod,https://api.economicsobservatory.com/can/prod,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,,,Productivity,Chained $ 2012 CAN / hour | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=111384112,STATCAN,Statistics Canada,,Chained $ 2012 CAN / hour,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,unem,https://api.economicsobservatory.com/can/unem,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,2062815,14100287,Unemployment rate,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062815,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,wage,https://api.economicsobservatory.com/can/wage,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,,,Weekly wage,$ CAN / week | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=105812714,STATCAN,Statistics Canada,,$ CAN / week,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
China,chn,infl,https://api.economicsobservatory.com/chn/infl,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/infl.json,,,Inflation,"CPI, % | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/infl.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,expo,https://api.economicsobservatory.com/chn/expo,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/expo.json,,,Exports,Current USD (thousands) | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/expo.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,impo,https://api.economicsobservatory.com/chn/impo,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/impo.json,,,Imports,Current USD (thousands) | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/impo.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,esta,https://api.economicsobservatory.com/chn/esta,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/esta.json,,,Real Estate Investment,"Yearly change, % | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/esta.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,grow,https://api.economicsobservatory.com/chn/grow,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/grow.json,,,GDP growth,"GDP growth, % | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/grow.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,popu,https://api.economicsobservatory.com/chn/popu,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/popu.json,,,Population,"Total, ten thousands | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/popu.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,wage,https://api.economicsobservatory.com/chn/wage,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/wage.json,,,Average wage,"Urban only, CNY | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/wage.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,unem,https://api.economicsobservatory.com/chn/unem,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/unem.json,,,Unemployment Rate,"Rate, % | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/unem.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,empl,https://api.economicsobservatory.com/chn/empl,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/empl.json,,,Employment,"Total, ten thousands | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/empl.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,cons,https://api.economicsobservatory.com/chn/cons,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/cons.json,,,Household Consumption,Current CNY | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/cons.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,gdpp,https://api.economicsobservatory.com/chn/gdpp,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/gdpp.json,,,GDP per capita,Current CNY | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/gdpp.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,ineq,https://api.economicsobservatory.com/chn/ineq,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/ineq.json,,,Inequality,Disposable income GINI | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/ineq.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,cnst,https://api.economicsobservatory.com/chn/cnst,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/cnst.json,,,Construction,"Output, current hundred million CNY | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/cnst.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,rail,https://api.economicsobservatory.com/chn/rail,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/rail.json,,,Rail Track,"Length, ten thousands KM | NBS through ECO API",https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/rail.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
China,chn,coal,https://api.economicsobservatory.com/chn/coal,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/coal.json,,,Coal Consumption,Ten thousands tons | NBS through ECO API,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/{code}.json,https://eco-temp-cache.s3.eu-west-2.amazonaws.com/chn/coal.json,NBS,National Bureau of Statistics of China,,,date,value,1,,,,,1
DR Congo,cod,popu,https://api.economicsobservatory.com/cod/popu,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/popu.json,,,Population,Total | Source: World Bank through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/popu.json,WB,World Bank,"Population, total",total,,,1,,,,,1
DR Congo,cod,impo,https://api.economicsobservatory.com/cod/impo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/impo.json,,,Imports,Current USD | Source: World Bank through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/impo.json,WB,World Bank,Imports (current US$),current US$,,,1,,,,,1
DR Congo,cod,expo,https://api.economicsobservatory.com/cod/expo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/expo.json,,,Exports,Current USD | Source: World Bank through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/expo.json,WB,World Bank,Exports (current US$),current US$,,,1,,,,,1
DR Congo,cod,empl,https://api.economicsobservatory.com/cod/empl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/empl.json,,,Employment to population ratio,"Ratio, % | Source: World Bank through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/empl.json,WB,World Bank,Employment to population ratio (%),%,,,1,,,,,1
DR Congo,cod,unem,https://api.economicsobservatory.com/cod/unem,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/unem.json,,,Unemployment,"Rate, % | Source: World Bank through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/unem.json,WB,World Bank,Unemployment (% of total labor force) (ILO estimate),% of total labor force,,,1,,,,,1
DR Congo,cod,gdpa,https://api.economicsobservatory.com/cod/gdpa,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/gdpa.json,,,GDP,2015 USD | Source: World Bank through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/gdpa.json,WB,World Bank,GDP (2015 US$),constant 2015 US$,,,1,,,,,1
DR Congo,cod,grow,https://api.economicsobservatory.com/cod/grow,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/grow.json,,,GDP growth,"Rate, % | Source: World Bank through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/grow.json,WB,World Bank,GDP growth (annual %),%,,,1,,,,,1
DR Congo,cod,debt,https://api.economicsobservatory.com/cod/debt,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/debt.json,,,Debt,"Ratio, % GDP | Source"" World Bank through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/debt.json,WB,World Bank,Government debt (% of GDP),% of GDP,,,1,,,,,1
DR Congo,cod,infl,https://api.economicsobservatory.com/cod/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/infl.json,,,Inflation,"CPI, % | Source: World Bank through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/infl.json,WB,World Bank,Consumer Prices Inflation (annual %),%,,,1,,,,,1
DR Congo,cod,gdpp,https://api.economicsobservatory.com/cod/gdpp,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/gdpp.json,,,GDP per capita,2015 USD | Source: World Bank through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/cod/gdpp.json,WB,World Bank,GDP per capita (2015 US$),constant 2015 US$,,,1,,,,,1
Egypt,egy,infl,https://api.economicsobservatory.com/egy/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/infl.json,,,Inflation,"CPI, % | Source: CAPMAS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/egy/infl.json,CAPMAS,Central Agency for Public Mobilization and Statistics,"Inflation, consumer prices (annual %)",%,,,1,,,,,1
